MONITORING VISIT PREPARATION CHECKLIST
TMF Zone Reference: Zone 22 (Site Monitoring Visits)
Regulatory Basis: ICH E6(R3) §5.18 (Monitoring), 21 CFR 312.56
Based on: Florence eBinder (eISF) Zone Structure + ISF-vs-TMF Mapping (Table 1708)
Protocol: CNS-205-2024 | Phase II | Alzheimer's Disease
Site: Metro Clinical Research Center (SITE-2198)
Visit Type: Routine Monitoring Visit (RMV #3)
Visit Date: 2026-02-25
CRA: Sarah Miller (Florence Pharmaceuticals)
Coordinator: Maria Rodriguez
Overall Readiness Score: 92%

================================================================================
DOCUMENT STATUS BY TMF ZONE
================================================================================
TMF_Zone,Artifact_Number,Document_Name,eISF_Status,eISF_Version,eTMF_Status,eTMF_Version,Last_Updated,Expiration_Date,Action_Required,Priority,CRA_Notes
14.4,14.04,"Temperature Excursion Log",Current,No excursions,Current,Filed,2026-01-15,N/A,None,—,"Continuous monitoring via BioT. No excursions to date."
15.1,15.01,"Enrollment Log",Current,5 subjects,Current,Filed,2026-02-15,N/A,None,—,"5 subjects enrolled. Log current."
15.2,15.02,"Visit Log / Subject Tracker",Current,Updated 2026-02-20,N/A,N/A,2026-02-20,N/A,None,—,—
15.3,15.03,"Screening Log",Current,11 screened,Current,Filed,2026-02-10,N/A,None,—,"11 screened, 5 enrolled, 6 screen failures."
16.2,16.02,"Sample CRF / EDC Screenshots",Current,Medidata Rave,Current,Filed,2024-03-01,N/A,None,—,—
17.1,17.01,"Informed Consent Form (ICF)",Current,v3.0 (2025-09-01),Current,v3.0,2025-09-05,N/A,None,—,"All 5 subjects consented on v3.0. Version tracker current."
19.2,19.02,"Serious Adverse Event Reports",Current,0 SAEs,Current,Filed,N/A,N/A,None,—,"No SAEs reported for CNS-205 at this site."
20.4,20.04,"Subject ID Code List",Current,Locked,N/A,N/A,2026-02-15,N/A,None,—,"Code break envelopes sealed and locked (Room 410)."
22.5,22.05,"Previous Monitoring Visit Reports",Current,RMV #1 + RMV #2,Current,Filed,2025-12-15,N/A,None,—,"Both prior visit reports finalized. All action items closed."
22.8,22.08,"Monitoring Visit Log",Current,3 visits documented,Current,Filed,2026-02-20,N/A,None,—,"SIV + RMV #1 + RMV #2 documented."

================================================================================
READINESS SUMMARY
================================================================================
Category,Total_Documents,Current,Action_Required,Overdue/Missing,Readiness_Pct
Zone 2 (Investigator Agreement),3,2,1,0,67%
Zone 3 (Site Qualifications),6,3,1,2,50%
Zone 4 (IRB/EC),3,3,0,0,100%
Zone 5 (Financial),2,2,0,0,100%
Zone 6 (IB),1,1,0,0,100%
Zone 11 (Protocol),2,2,0,0,100%
Zone 12 (Delegation),1,0,1,0,0%
Zone 13 (Lab),3,3,0,0,100%
Zone 14 (IP),2,2,0,0,100%
Zone 15 (Study Subjects),3,3,0,0,100%
Zone 16 (CRF),1,1,0,0,100%
Zone 17 (ICF),1,1,0,0,100%
Zone 19 (Safety),1,1,0,0,100%
Zone 20 (Confidential),1,1,0,0,100%
Zone 22 (Monitoring),2,2,0,0,100%
OVERALL,32,27,3,2,92%
