IRB/ETHICS COMMITTEE CORRESPONDENCE LOG
TMF Zone Reference: Zone 9 (IRB/EC Approvals and Correspondence)
Regulatory Basis: ICH E6(R3) §3.3, 21 CFR 312.66, 21 CFR 56
Site: Metro Clinical Research Center (SITE-2198)
IRB of Record: WCG IRB (FWA00000001)
Principal Investigator: Dr. Amanda Chen, MD, PhD
Log Maintained by: Maria Rodriguez, Lead CRC
Last Updated: 2026-02-25

================================================================================
CORRESPONDENCE LOG
================================================================================
Entry_ID,Protocol,Submission_Type,Date_Submitted,IRB_Action,Action_Date,Approval_Expiration,Protocol_Version,Amendment_Number,Documents_Submitted,IRB_Reference_Number,Notes
IRB-011,CNS-205-2024,Amendment 2,2024-11-01,Approved,2024-11-20,2025-02-12,v1.4,AMD-002,"Protocol v1.4 (addition of optional CSF collection at Month 12, updated inclusion criterion for MMSE range), Updated ICF v3.0",WCG-2024-11-3550,"Expedited review. Addition of optional biomarker collection required ICF update."
IRB-012,CNS-205-2024,Continuing Review,2025-01-15,Approved,2025-02-05,2026-02-05,v1.4,N/A,"Annual continuing review: enrollment update (3/8 at time of review), AE summary (0 SAEs), deviation log (1 minor: missed MRI window), PI attestation",WCG-2025-01-0218,"Approved for continuation. No modifications."
IRB-013,CNS-205-2024,Continuing Review,2026-02-01,PENDING,—,2026-02-28,v1.4,N/A,"Annual continuing review package. Due 2026-02-28. Current enrollment: 5/8. 0 SAEs. 1 deviation (Subject 104 missed MRI window). PI attestation included.",—,"AI-drafted package prepared. Ready for PI signature and submission."
IRB-014,LUNG-812,Initial Review,2023-03-10,Approved,2023-03-28,2024-03-28,v1.0,N/A,"Initial submission per Merck template. Full board.",WCG-2023-03-1580,"Approved."
IRB-015,LUNG-812,Continuing Review,2024-03-05,Approved,2024-03-20,2025-03-20,v1.0,N/A,"Year 1 continuing review. 12/18 enrolled. 1 SAE (resolved). 0 deviations.",WCG-2024-03-0905,"Approved for continuation."
IRB-016,LUNG-812,Continuing Review,2025-03-01,Approved,2025-03-15,2026-03-15,v1.0,N/A,"Year 2 continuing review. 16/18 enrolled. 2 total SAEs (1 new, both resolved). 0 deviations.",WCG-2025-03-0612,"Approved for continuation. Study approaching enrollment completion."

================================================================================
UPCOMING IRB ACTIONS REQUIRED
================================================================================
Priority,Protocol,Action,Due_Date,Status,Notes
P1-Critical,CNS-205-2024,Continuing Review Submission,2026-02-28,"AI-drafted package ready — needs PI signature","Approval expires 2026-02-28. Must submit ≥30 days before expiration."
P3-Important,DERM-110-2025,Continuing Review Preparation,2026-05-28,"Package preparation in progress","Begin preparation by 2026-04-15. Enrollment summary needed."
P4-Routine,LUNG-812,Study Close-Out Notification,TBD,"Not yet due","Enrollment nearly complete (16/18). Close-out notification after LPLV."
P4-Routine,ONK-301-2025,Amendment 3 (if needed),TBD,"Not yet needed","DSMB review Q2 2026 may trigger protocol amendment."
